Code,City,Name,DefaultDisplayName,StateCode,CountryCode,CountryName,IsBlueCity,IsPreClearedStation,IsMACCode,ParentMACCode,ChildrenMACCodes,RegionCodes/0,RegionCodes/1,ChildrenMACCodes/0,ChildrenMACCodes/1,ChildrenMACCodes/2,ChildrenMACCodes/3,ChildrenMACCodes/4
RIC,Richmond,Richmond,"Richmond, VA (RIC)",VA,US,UNITED STATES,true,false,false,,,US,,,,,,
PHX,Phoenix,Phoenix Sky Harbor Intl Apt,"Phoenix, AZ (PHX)",AZ,US,UNITED STATES,true,false,false,,,US,,,,,,
MSY,New Orleans,New Orleans Louis Armstrong Intl Apt,"New Orleans, LA (MSY)",LA,US,UNITED STATES,true,false,false,,,US,,,,,,
EWR,Newark,Newark Liberty International Apt,"Newark, NJ (EWR)",NJ,US,UNITED STATES,true,false,false,NYC,,US,,,,,,
JFK,New York,New York J F Kennedy International Apt,"New York, NY (JFK)",NY,US,UNITED STATES,true,false,false,NYC,,US,,,,,,
LGA,New York,New York La Guardia Apt,"New York, NY (LGA)",NY,US,UNITED STATES,true,false,false,NYC,,US,,,,,,
ROC,Rochester,Rochester,"Rochester, NY (ROC)",NY,US,UNITED STATES,true,false,false,,,US,,,,,,
ALB,Albany,Albany International Airport,"Albany, NY (ALB)",NY,US,UNITED STATES,true,false,false,,,US,,,,,,
HPN,Westchester County,Westchester County,"Westchester County, NY (HPN)",NY,US,UNITED STATES,true,false,false,NYC,,US,,,,,,
SWF,Newburgh,Newburgh,"Newburgh, NY (SWF)",NY,US,UNITED STATES,true,false,false,NYC,,US,,,,,,
BUF,Buffalo,Buffalo,"Buffalo, NY (BUF)",NY,US,UNITED STATES,true,false,false,,,US,,,,,,
SYR,Syracuse,Syracuse,"Syracuse, NY (SYR)",NY,US,UNITED STATES,true,false,false,,,US,,,,,,
BTV,Burlington,Burlington,"Burlington, VT (BTV)",VT,US,UNITED STATES,true,false,false,,,US,,,,,,
CLE,Cleveland,Cleveland Hopkins International Apt,"Cleveland, OH (CLE)",OH,US,UNITED STATES,true,false,false,,,US,,,,,,
HNL,Oahu-Honolulu,Honolulu International Apt,"Oahu-Honolulu, HI (HNL)",HI,US,UNITED STATES,false,false,false,,,US,,,,,,
OGG,Maui-Kahului,Kahului,"Maui-Kahului, HI (OGG)",HI,US,UNITED STATES,false,false,false,,,US,,,,,,
ONT,Ontario,Ontario LA/Ontario International Apt,"Ontario, CA (ONT)",CA,US,UNITED STATES,true,false,false,,,US,,,,,,
PSP,Palm Springs,Palm Springs Municipal Apt,"Palm Springs, CA (PSP)",CA,US,UNITED STATES,true,false,false,,,US,,,,,,
SJC,San Jose,San Jose Norman Y. Mineta Intl,"San Jose, CA (SJC)",CA,US,UNITED STATES,true,false,false,XSF,,US,,,,,,
LAX,Los Angeles,Los Angeles International Apt,"Los Angeles, CA (LAX)",CA,US,UNITED STATES,true,false,false,ZLA,,US,,,,,,
BUR,Burbank,Burbank,"Burbank, CA (BUR)",CA,US,UNITED STATES,true,false,false,ZLA,,US,,,,,,
OAK,Oakland,Oakland International Apt,"Oakland, CA (OAK)",CA,US,UNITED STATES,true,false,false,XSF,,US,,,,,,
LGB,Long Beach,Long Beach Apt,"Long Beach, CA (LGB)",CA,US,UNITED STATES,true,false,false,ZLA,,US,,,,,,
SMF,Sacramento,Sacramento International Apt,"Sacramento, CA (SMF)",CA,US,UNITED STATES,true,false,false,,,US,,,,,,
SAN,San Diego,San Diego International,"San Diego, CA (SAN)",CA,US,UNITED STATES,true,false,false,,,US,,,,,,
